filename,rotation_deg,inner_shoulder_distance_px,wall_thickness_px,inner_shoulder_distance_mm,wall_thickness_mm
2026-08-27_09-36.png,-1.30,1736.2,932.0,17.36,9.32
2026-08-27_09-50.png,-1.60,1668.2,919.0,16.68,9.19
2026-08-27_10-05.png,-3.80,1665.3,934.0,16.65,9.34
2026-08-27_10-20.png,-7.00,1749.2,948.0,17.49,9.48
2026-08-27_10-30.png,0.00,1672.2,928.0,16.72,9.28
2026-08-27_10-45.png,-4.60,1708.1,925.0,17.08,9.25
2026-08-27_11-15.png,-4.90,1684.2,923.0,16.84,9.23
2026-08-27_11-40.png,1.50,1766.0,907.0,17.66,9.07
2026-08-27_13-00.png,1.40,1761.1,898.0,17.61,8.98
2026-08-27_13-05.png,-2.30,1721.0,877.0,17.21,8.77
2026-08-27_13-10.png,2.50,1811.4,898.0,18.11,8.98
2026-08-27_13-35.png,1.60,1825.1,922.0,18.25,9.22
2026-08-27_13-50.png,2.20,1821.6,910.0,18.22,9.10
2026-08-27_14-00.png,-2.70,1867.0,950.0,18.67,9.50
2026-08-27_14-50.png,0.00,1763.6,924.0,17.64,9.24
2026-08-27_15-00.png,0.00,1757.1,918.0,17.57,9.18
2026-08-27_15-05.png,1.10,1679.0,949.0,16.79,9.49
2026-08-27_15-10.png,1.10,1749.4,948.0,17.49,9.48
2026-08-27_15-45.png,2.10,1717.0,930.0,17.17,9.30
